2024-06-18 15:55:58 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:03 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:08 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:13 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:18 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:23 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:28 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:33 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:38 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:43 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:48 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:53 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:56:58 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:03 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:08 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:13 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:18 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:23 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:28 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
